#    L    TT             EE             TE             PP             TP          
   298   0.259561E+04   0.806349E+01   0.837715E+02   0.156888E+07   0.813570E+03
   299   0.257022E+04   0.820348E+01   0.836364E+02   0.156005E+07   0.805928E+03
   300   0.254484E+04   0.834234E+01   0.834684E+02   0.155129E+07   0.798333E+03
   301   0.251956E+04   0.848155E+01   0.832753E+02   0.154260E+07   0.790785E+03
   302   0.249443E+04   0.862038E+01   0.830572E+02   0.153396E+07   0.783285E+03
   303   0.246940E+04   0.875956E+01   0.827997E+02   0.152539E+07   0.775833E+03
   304   0.244444E+04   0.889911E+01   0.825028E+02   0.151688E+07   0.768428E+03
   305   0.241964E+04   0.903755E+01   0.821818E+02   0.150843E+07   0.761072E+03
   306   0.239491E+04   0.917564E+01   0.818294E+02   0.150003E+07   0.753765E+03
   307   0.237033E+04   0.931338E+01   0.814385E+02   0.149170E+07   0.746506E+03
   308   0.234589E+04   0.945227E+01   0.810317E+02   0.148343E+07   0.739297E+03
   309   0.232167E+04   0.958934E+01   0.805794E+02   0.147522E+07   0.732137E+03
   310   0.229751E+04   0.972535E+01   0.801042E+02   0.146707E+07   0.725027E+03
   311   0.227357E+04   0.986253E+01   0.795915E+02   0.145897E+07   0.717968E+03
   312   0.224982E+04   0.999792E+01   0.790564E+02   0.145093E+07   0.710958E+03
   313   0.222621E+04   0.101330E+02   0.784843E+02   0.144295E+07   0.704000E+03
   314   0.220280E+04   0.102678E+02   0.778904E+02   0.143503E+07   0.697093E+03
   315   0.217958E+04   0.104009E+02   0.772599E+02   0.142716E+07   0.690238E+03
   316   0.215656E+04   0.105336E+02   0.766006E+02   0.141935E+07   0.683434E+03
   317   0.213372E+04   0.106647E+02   0.759128E+02   0.141159E+07   0.676682E+03
   318   0.211108E+04   0.107962E+02   0.751967E+02   0.140389E+07   0.669983E+03
   319   0.208870E+04   0.109260E+02   0.744526E+02   0.139625E+07   0.663337E+03
   320   0.206657E+04   0.110548E+02   0.736881E+02   0.138865E+07   0.656743E+03
