#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   144   0.307413E+04  -0.362618E+02   0.186696E-03  -0.362618E+02   0.966301E+00  -0.850143E-06   0.186696E-03  -0.850143E-06   0.918744E-07
   145   0.309893E+04  -0.363330E+02   0.184868E-03  -0.363330E+02   0.961724E+00  -0.828058E-06   0.184868E-03  -0.828058E-06   0.912211E-07
   146   0.312382E+04  -0.363843E+02   0.183065E-03  -0.363843E+02   0.956593E+00  -0.806134E-06   0.183065E-03  -0.806134E-06   0.905725E-07
   147   0.314836E+04  -0.364143E+02   0.181288E-03  -0.364143E+02   0.951132E+00  -0.784530E-06   0.181288E-03  -0.784530E-06   0.899288E-07
   148   0.317276E+04  -0.364246E+02   0.179535E-03  -0.364246E+02   0.945199E+00  -0.763405E-06   0.179535E-03  -0.763405E-06   0.892899E-07
   149   0.319711E+04  -0.364138E+02   0.177807E-03  -0.364138E+02   0.938870E+00  -0.742920E-06   0.177807E-03  -0.742920E-06   0.886557E-07
   150   0.322117E+04  -0.363798E+02   0.176103E-03  -0.363798E+02   0.932223E+00  -0.723233E-06   0.176103E-03  -0.723233E-06   0.880262E-07
   151   0.324510E+04  -0.363257E+02   0.174423E-03  -0.363257E+02   0.925187E+00  -0.704472E-06   0.174423E-03  -0.704472E-06   0.874015E-07
   152   0.326874E+04  -0.362500E+02   0.172766E-03  -0.362500E+02   0.917691E+00  -0.686635E-06   0.172766E-03  -0.686635E-06   0.867815E-07
   153   0.329225E+04  -0.361505E+02   0.171133E-03  -0.361505E+02   0.909887E+00  -0.669690E-06   0.171133E-03  -0.669690E-06   0.861661E-07
   154   0.331555E+04  -0.360297E+02   0.169522E-03  -0.360297E+02   0.901778E+00  -0.653604E-06   0.169522E-03  -0.653604E-06   0.855555E-07
   155   0.333865E+04  -0.358867E+02   0.167933E-03  -0.358867E+02   0.893365E+00  -0.638343E-06   0.167933E-03  -0.638343E-06   0.849495E-07
   156   0.336138E+04  -0.357218E+02   0.166365E-03  -0.357218E+02   0.884653E+00  -0.623875E-06   0.166365E-03  -0.623875E-06   0.843481E-07
   157   0.338406E+04  -0.355334E+02   0.164819E-03  -0.355334E+02   0.875645E+00  -0.610166E-06   0.164819E-03  -0.610166E-06   0.837513E-07
   158   0.340646E+04  -0.353224E+02   0.163293E-03  -0.353224E+02   0.866416E+00  -0.597184E-06   0.163293E-03  -0.597184E-06   0.831591E-07
   159   0.342858E+04  -0.350888E+02   0.161787E-03  -0.350888E+02   0.856823E+00  -0.584894E-06   0.161787E-03  -0.584894E-06   0.825715E-07
   160   0.345049E+04  -0.348313E+02   0.160300E-03  -0.348313E+02   0.847015E+00  -0.573265E-06   0.160300E-03  -0.573265E-06   0.819885E-07
   161   0.347219E+04  -0.345513E+02   0.158832E-03  -0.345513E+02   0.837071E+00  -0.562263E-06   0.158832E-03  -0.562263E-06   0.814099E-07
   162   0.349361E+04  -0.342491E+02   0.157383E-03  -0.342491E+02   0.826845E+00  -0.551854E-06   0.157383E-03  -0.551854E-06   0.808359E-07
   163   0.351490E+04  -0.339230E+02   0.155951E-03  -0.339230E+02   0.816414E+00  -0.542007E-06   0.155951E-03  -0.542007E-06   0.802664E-07
   164   0.353576E+04  -0.335748E+02   0.154537E-03  -0.335748E+02   0.805855E+00  -0.532688E-06   0.154537E-03  -0.532688E-06   0.797013E-07
   165   0.355649E+04  -0.332023E+02   0.153140E-03  -0.332023E+02   0.795097E+00  -0.523863E-06   0.153140E-03  -0.523863E-06   0.791407E-07
   166   0.357694E+04  -0.328069E+02   0.151760E-03  -0.328069E+02   0.784292E+00  -0.515500E-06   0.151760E-03  -0.515500E-06   0.785845E-07
   167   0.359718E+04  -0.323896E+02   0.150395E-03  -0.323896E+02   0.773219E+00  -0.507566E-06   0.150395E-03  -0.507566E-06   0.780328E-07
   168   0.361699E+04  -0.319481E+02   0.149045E-03  -0.319481E+02   0.762252E+00  -0.500027E-06   0.149045E-03  -0.500027E-06   0.774854E-07
   169   0.363653E+04  -0.314826E+02   0.147711E-03  -0.314826E+02   0.751098E+00  -0.492851E-06   0.147711E-03  -0.492851E-06   0.769423E-07
   170   0.365579E+04  -0.309945E+02   0.146391E-03  -0.309945E+02   0.739983E+00  -0.486004E-06   0.146391E-03  -0.486004E-06   0.764037E-07
   171   0.367461E+04  -0.304818E+02   0.145084E-03  -0.304818E+02   0.728908E+00  -0.479453E-06   0.145084E-03  -0.479453E-06   0.758693E-07
   172   0.369309E+04  -0.299460E+02   0.143791E-03  -0.299460E+02   0.717804E+00  -0.473166E-06   0.143791E-03  -0.473166E-06   0.753393E-07
   173   0.371114E+04  -0.293872E+02   0.142511E-03  -0.293872E+02   0.706672E+00  -0.467109E-06   0.142511E-03  -0.467109E-06   0.748135E-07
   174   0.372891E+04  -0.288053E+02   0.141243E-03  -0.288053E+02   0.695813E+00  -0.461249E-06   0.141243E-03  -0.461249E-06   0.742921E-07
