#    L    TT             EE             BB             TE          
   315   0.228983E+04   0.108956E+02   0.205242E-01   0.802375E+02
   316   0.226591E+04   0.110333E+02   0.205987E-01   0.795448E+02
   317   0.224218E+04   0.111692E+02   0.206728E-01   0.788226E+02
   318   0.221866E+04   0.113055E+02   0.207465E-01   0.780711E+02
   319   0.219540E+04   0.114401E+02   0.208199E-01   0.772908E+02
   320   0.217241E+04   0.115736E+02   0.208928E-01   0.764892E+02
   321   0.214961E+04   0.117068E+02   0.209654E-01   0.756518E+02
   322   0.212708E+04   0.118375E+02   0.210377E-01   0.747864E+02
   323   0.210480E+04   0.119672E+02   0.211096E-01   0.738931E+02
   324   0.208278E+04   0.120966E+02   0.211813E-01   0.729649E+02
   325   0.206108E+04   0.122220E+02   0.212526E-01   0.720243E+02
   326   0.203956E+04   0.123479E+02   0.213237E-01   0.710418E+02
   327   0.201836E+04   0.124721E+02   0.213945E-01   0.700402E+02
   328   0.199748E+04   0.125937E+02   0.214650E-01   0.690195E+02
   329   0.197684E+04   0.127144E+02   0.215353E-01   0.679652E+02
   330   0.195652E+04   0.128327E+02   0.216055E-01   0.668851E+02
   331   0.193658E+04   0.129492E+02   0.216754E-01   0.657869E+02
   332   0.191687E+04   0.130648E+02   0.217452E-01   0.646707E+02
   333   0.189747E+04   0.131779E+02   0.218148E-01   0.635296E+02
   334   0.187844E+04   0.132893E+02   0.218843E-01   0.623637E+02
   335   0.185963E+04   0.133976E+02   0.219537E-01   0.611733E+02
   336   0.184120E+04   0.135041E+02   0.220230E-01   0.599662E+02
   337   0.182313E+04   0.136090E+02   0.220922E-01   0.587276E+02
   338   0.180536E+04   0.137108E+02   0.221614E-01   0.574804E+02
   339   0.178801E+04   0.138116E+02   0.222307E-01   0.562097E+02
   340   0.177096E+04   0.139093E+02   0.222999E-01   0.549308E+02
   341   0.175418E+04   0.140039E+02   0.223691E-01   0.536216E+02
   342   0.173783E+04   0.140975E+02   0.224384E-01   0.522973E+02
   343   0.172183E+04   0.141873E+02   0.225078E-01   0.509581E+02
   344   0.170626E+04   0.142748E+02   0.225773E-01   0.496044E+02
   345   0.169095E+04   0.143591E+02   0.226470E-01   0.482364E+02
   346   0.167606E+04   0.144418E+02   0.227168E-01   0.468617E+02
   347   0.166150E+04   0.145207E+02   0.227868E-01   0.454659E+02
   348   0.164736E+04   0.145965E+02   0.228569E-01   0.440565E+02
   349   0.163355E+04   0.146700E+02   0.229274E-01   0.426340E+02
   350   0.162014E+04   0.147397E+02   0.229980E-01   0.412059E+02
   351   0.160728E+04   0.148070E+02   0.230690E-01   0.397651E+02
   352   0.159460E+04   0.148713E+02   0.231403E-01   0.383116E+02
   353   0.158238E+04   0.149320E+02   0.232119E-01   0.368601E+02
   354   0.157048E+04   0.149897E+02   0.232838E-01   0.353884E+02
   355   0.155904E+04   0.150445E+02   0.233562E-01   0.339112E+02
   356   0.154797E+04   0.150965E+02   0.234289E-01   0.324360E+02
