#    L    TT             EE             BB             TE          
   379   0.139969E+04   0.153869E+02   0.252225E-01  -0.215440E+01
   380   0.139777E+04   0.153618E+02   0.253105E-01  -0.361582E+01
   381   0.139614E+04   0.153305E+02   0.253992E-01  -0.506698E+01
   382   0.139479E+04   0.152983E+02   0.254887E-01  -0.650718E+01
   383   0.139385E+04   0.152624E+02   0.255791E-01  -0.793797E+01
   384   0.139334E+04   0.152226E+02   0.256703E-01  -0.935569E+01
   385   0.139302E+04   0.151814E+02   0.257623E-01  -0.107619E+02
   386   0.139312E+04   0.151365E+02   0.258552E-01  -0.121544E+02
   387   0.139347E+04   0.150880E+02   0.259490E-01  -0.135333E+02
   388   0.139415E+04   0.150366E+02   0.260436E-01  -0.148970E+02
   389   0.139516E+04   0.149802E+02   0.261391E-01  -0.162458E+02
   390   0.139649E+04   0.149240E+02   0.262355E-01  -0.175774E+02
   391   0.139813E+04   0.148636E+02   0.263327E-01  -0.188934E+02
   392   0.140002E+04   0.148020E+02   0.264309E-01  -0.201908E+02
   393   0.140229E+04   0.147363E+02   0.265300E-01  -0.214704E+02
